,ensg_id,description,category,logtpm_mean,logtpm_std,stratified_level
3384,ENSG00000107223,endothelial differentiation-related factor 1,Expressed in all tissues,8.858287748074419,0.3138896640612128,8
3387,ENSG00000107262,BCL2-associated athanogene,Expressed in all tissues,6.600392059173713,0.5646668257751742,6
3388,ENSG00000107263,Rap guanine nucleotide exchange factor (GEF) 1,Expressed in all tissues,5.689694004385693,0.7415910110773152,5
3391,ENSG00000107290,senataxin,Expressed in all tissues,4.8681612053517105,0.8199006643697057,4
3394,ENSG00000107331,"ATP-binding cassette, sub-family A (ABC1), member 2",Expressed in all tissues,4.638929993573393,0.9080932499950607,4
3395,ENSG00000107338,Src homology 2 domain containing adaptor protein B,Expressed in all tissues,3.3665841842429125,0.7793248439960299,3
3396,ENSG00000107341,ubiquitin-conjugating enzyme E2R 2,Expressed in all tissues,5.507150480336278,0.49961015008035886,5
3397,ENSG00000107362,abhydrolase domain containing 17B,Expressed in all tissues,4.37255923339723,0.7303624875954196,4
3398,ENSG00000107371,exosome component 3,Expressed in all tissues,4.375945055983933,0.7523946022654172,4
3399,ENSG00000107372,"zinc finger, AN1-type domain 5",Expressed in all tissues,7.389810604313489,0.8300499387706729,7
3400,ENSG00000107404,dishevelled segment polarity protein 1,Expressed in all tissues,4.56260263838698,0.8420015129247563,4
3402,ENSG00000107443,cyclin J,Expressed in all tissues,2.7770656753678904,0.6581041498931166,2
3406,ENSG00000107521,Hermansky-Pudlak syndrome 1,Expressed in all tissues,5.783474811997569,0.6596807373336697,5
3409,ENSG00000107554,dynamin binding protein,Expressed in all tissues,4.095311282865322,0.8072412327671544,4
3410,ENSG00000107560,RAB11 family interacting protein 2 (class I),Expressed in all tissues,4.082547340138079,0.9704851955908123,4
3412,ENSG00000107566,ER lipid raft associated 1,Expressed in all tissues,5.288435989535529,0.92608613021111,5
3419,ENSG00000107625,DEAD (Asp-Glu-Ala-Asp) box polypeptide 50,Expressed in all tissues,5.018878006836282,0.7030696004014213,5
3420,ENSG00000107643,mitogen-activated protein kinase 8,Expressed in all tissues,5.559207053617906,0.5337092491323295,5
3421,ENSG00000107651,SEC23 interacting protein,Expressed in all tissues,4.881912479955305,0.6072731602400888,4
3422,ENSG00000107669,arginyltransferase 1,Expressed in all tissues,5.169134895086132,0.8984338521848563,5
3423,ENSG00000107672,non-SMC element 4 homolog A (S. cerevisiae),Expressed in all tissues,6.1247989447454065,0.7126637801423303,6
3424,ENSG00000107679,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1",Expressed in all tissues,5.29786604013425,0.9163102922896963,5
3431,ENSG00000107758,"protein phosphatase 3, catalytic subunit, beta isozyme",Expressed in all tissues,6.0231151152391105,0.8205887824088104,6
3432,ENSG00000107771,coiled-coil serine-rich protein 2,Expressed in all tissues,5.453156657151541,0.9199745711995847,5
3434,ENSG00000107789,multiple inositol-polyphosphate phosphatase 1,Expressed in all tissues,4.170522177567936,0.8319570273921303,4
3438,ENSG00000107815,chromosome 10 open reading frame 2,Expressed in all tissues,3.093806469017589,0.6721831074684051,3
3439,ENSG00000107816,"leucine zipper, putative tumor suppressor 2",Expressed in all tissues,5.079948814724937,0.8543086400886905,5
3442,ENSG00000107829,F-box and WD repeat domain containing 4,Expressed in all tissues,6.088510189511599,0.5557067784231523,6
3444,ENSG00000107833,nucleophosmin/nucleoplasmin 3,Expressed in all tissues,4.7802126118416695,0.6491846646636095,4
3447,ENSG00000107862,golgi brefeldin A resistant guanine nucleotide exchange factor 1,Expressed in all tissues,5.007253995565634,0.4696694994481808,5
3448,ENSG00000107863,Rho GTPase activating protein 21,Expressed in all tissues,4.957489580245755,0.838019617064381,4
3449,ENSG00000107864,cytoplasmic polyadenylation element binding protein 3,Expressed in all tissues,2.645212683416408,0.8774805494392957,2
3451,ENSG00000107874,CUE domain containing 2,Expressed in all tissues,6.022406367755363,0.558548377020461,6
3452,ENSG00000107882,suppressor of fused homolog (Drosophila),Expressed in all tissues,3.3500026465545747,0.8466687260399542,3
3453,ENSG00000107890,ankyrin repeat domain 26,Expressed in all tissues,2.476664226790742,0.6670020450007926,2
3454,ENSG00000107897,acyl-CoA binding domain containing 5,Expressed in all tissues,5.074934423354521,0.809817318082372,5
3456,ENSG00000107929,"La ribonucleoprotein domain family, member 4B",Expressed in all tissues,5.148477182078757,0.5827552117128825,5
3457,ENSG00000107937,GTP binding protein 4,Expressed in all tissues,5.184664198580232,0.6129305810372715,5
3458,ENSG00000107938,erythroid differentiation regulatory factor 1,Expressed in all tissues,4.517082471260216,0.7919938580784106,4
3459,ENSG00000107949,BRCA2 and CDKN1A interacting protein,Expressed in all tissues,6.095990223742105,0.38600641787230605,6
3463,ENSG00000107959,pitrilysin metallopeptidase 1,Expressed in all tissues,5.917026754301759,0.48329348496175295,5
3464,ENSG00000107960,oligonucleotide/oligosaccharide-binding fold containing 1,Expressed in all tissues,4.945050953484006,0.6640678220809004,4
3468,ENSG00000108010,glutaredoxin 3,Expressed in all tissues,5.592490507941831,0.5202065109338777,5
3470,ENSG00000108021,"family with sequence similarity 208, member B",Expressed in all tissues,4.843089070009779,0.7368284511317991,4
3471,ENSG00000108039,"X-prolyl aminopeptidase (aminopeptidase P) 1, soluble",Expressed in all tissues,5.901080416604258,0.5842656332467796,5
3472,ENSG00000108055,structural maintenance of chromosomes 3,Expressed in all tissues,5.083090756495015,0.7085124022878203,5
3473,ENSG00000108061,soc-2 suppressor of clear homolog (C. elegans),Expressed in all tissues,5.334250599268735,0.6525089877948401,5
3475,ENSG00000108091,coiled-coil domain containing 6,Expressed in all tissues,5.073054869984342,0.6848296933073788,5
3476,ENSG00000108094,cullin 2,Expressed in all tissues,5.074024249116695,0.5847114665026316,5
3477,ENSG00000108100,cyclin Y,Expressed in all tissues,6.28992808153319,0.6946839056194217,6
3480,ENSG00000108175,"zinc finger, MIZ-type containing 1",Expressed in all tissues,5.639757674144045,0.9517065861194162,5
3482,ENSG00000108179,peptidylprolyl isomerase F,Expressed in all tissues,6.03222019916564,0.7713470899332662,6
3484,ENSG00000108219,tetraspanin 14,Expressed in all tissues,6.195853726533446,0.8021820549304945,6
3491,ENSG00000108262,G protein-coupled receptor kinase interacting ArfGAP 1,Expressed in all tissues,5.037796328665214,0.8655836132989846,5
3495,ENSG00000108278,"zinc finger, HIT-type containing 3",Expressed in all tissues,5.800291968226793,0.5343751320831432,5
3496,ENSG00000108292,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6",Expressed in all tissues,6.290547284764923,0.7559797735993555,6
3497,ENSG00000108294,"proteasome (prosome, macropain) subunit, beta type, 3",Expressed in all tissues,7.299675058786739,0.5468125571372935,7
3498,ENSG00000108296,CWC25 spliceosome-associated protein homolog (S. cerevisiae),Expressed in all tissues,4.914164868819042,0.6978083929073393,4
3500,ENSG00000108306,F-box and leucine-rich repeat protein 20,Expressed in all tissues,2.8805327571521033,0.7014799468221442,2
3504,ENSG00000108344,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 3",Expressed in all tissues,6.430541962516616,0.44475159327174857,6
3505,ENSG00000108349,cancer susceptibility candidate 3,Expressed in all tissues,6.072459590904211,0.6629589375288184,6
3511,ENSG00000108384,RAD51 paralog C,Expressed in all tissues,4.82796894858169,0.7070898299592961,4
3513,ENSG00000108389,myotubularin related protein 4,Expressed in all tissues,4.843024354073632,0.8288970512815975,4
3514,ENSG00000108395,tripartite motif containing 37,Expressed in all tissues,4.1484873304003935,0.9474039955122127,4
3516,ENSG00000108406,DEAH (Asp-Glu-Ala-His) box polypeptide 40,Expressed in all tissues,5.090448797514789,0.6658598115868074,5
3518,ENSG00000108423,"tubulin, delta 1",Expressed in all tissues,3.5080114229434742,0.6160016562021928,3
3519,ENSG00000108424,karyopherin (importin) beta 1,Expressed in all tissues,7.213690831772526,0.6341056443934573,7
3520,ENSG00000108433,golgi SNAP receptor complex member 2,Expressed in all tissues,6.211386585567715,0.5645723434857949,6
3521,ENSG00000108439,pyridoxamine 5'-phosphate oxidase,Expressed in all tissues,4.5090159037422755,0.7998864380232602,4
3523,ENSG00000108448,tripartite motif containing 16-like,Expressed in all tissues,3.689485196007874,0.9978761312609382,3
3524,ENSG00000108465,CDK5 regulatory subunit associated protein 3,Expressed in all tissues,7.268922260256867,0.7035012390809194,7
3525,ENSG00000108468,chromobox homolog 1,Expressed in all tissues,5.67443871011397,0.886678065540197,5
3526,ENSG00000108469,RecQ protein-like 5,Expressed in all tissues,5.1130273171411265,0.9251023011580819,5
3527,ENSG00000108474,"phosphatidylinositol glycan anchor biosynthesis, class L",Expressed in all tissues,5.124423898123784,0.7094175725919062,5
3528,ENSG00000108479,galactokinase 1,Expressed in all tissues,4.010702757186734,0.7041525783400768,4
3531,ENSG00000108510,mediator complex subunit 13,Expressed in all tissues,4.524231948959864,0.5637830465835201,4
3534,ENSG00000108518,profilin 1,Expressed in all tissues,8.435185491870127,0.9583011748959743,8
3535,ENSG00000108523,ring finger protein 167,Expressed in all tissues,6.755776286657895,0.438719664084452,6
3539,ENSG00000108557,retinoic acid induced 1,Expressed in all tissues,3.6296764138628372,0.7303982276027752,3
3540,ENSG00000108559,nucleoporin 88kDa,Expressed in all tissues,5.38201268532596,0.6600467528908174,5
3541,ENSG00000108561,"complement component 1, q subcomponent binding protein",Expressed in all tissues,7.126671546671707,0.6045401676506988,7
3543,ENSG00000108578,bleomycin hydrolase,Expressed in all tissues,5.110955668772851,0.7849145249812588,5
3545,ENSG00000108587,golgi SNAP receptor complex member 1,Expressed in all tissues,5.265214698708059,0.5055554746473582,5
3546,ENSG00000108588,coiled-coil domain containing 47,Expressed in all tissues,6.537832447014128,0.5562778811824896,6
3547,ENSG00000108590,mediator complex subunit 31,Expressed in all tissues,4.4307492210592585,0.6609893922981845,4
3548,ENSG00000108591,developmentally regulated GTP binding protein 2,Expressed in all tissues,5.103468352140103,0.4793548024416795,5
3549,ENSG00000108592,FtsJ homolog 3 (E. coli),Expressed in all tissues,5.211381764761684,0.6237976359807511,5
3550,ENSG00000108599,A kinase (PRKA) anchor protein 10,Expressed in all tissues,4.478156841006198,0.7095508525541792,4
3552,ENSG00000108604,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2",Expressed in all tissues,6.192387049339886,0.6356930035643727,6
3554,ENSG00000108639,synaptogyrin 2,Expressed in all tissues,6.788040336478431,0.7423866573013551,6
3556,ENSG00000108651,"UTP6, small subunit (SSU) processome component, homolog (yeast)",Expressed in all tissues,5.579230378011677,0.6487047823464983,5
3557,ENSG00000108654,DEAD (Asp-Glu-Ala-Asp) box helicase 5,Expressed in all tissues,9.412634088950988,0.7760994690030818,9
3558,ENSG00000108666,chromosome 17 open reading frame 75,Expressed in all tissues,4.391326754362166,0.6713126837963969,4
3559,ENSG00000108669,cytohesin 1,Expressed in all tissues,5.974964433004861,0.8941853092831945,5
3560,ENSG00000108671,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11",Expressed in all tissues,6.002095273221753,0.47970827992754,6
3567,ENSG00000108733,peroxisomal biogenesis factor 12,Expressed in all tissues,3.2579798427706015,0.7257615484137859,3
3570,ENSG00000108771,DEXH (Asp-Glu-X-His) box polypeptide 58,Expressed in all tissues,4.418946725880306,0.8060195322890313,4
3571,ENSG00000108773,K(lysine) acetyltransferase 2A,Expressed in all tissues,5.888243320789131,0.7342073932856679,5
3572,ENSG00000108774,"RAB5C, member RAS oncogene family",Expressed in all tissues,7.102381946841714,0.7227675244512745,7
3573,ENSG00000108784,"N-acetylglucosaminidase, alpha",Expressed in all tissues,4.970865001516543,0.6682794368311802,4
3575,ENSG00000108788,"MLX, MAX dimerization protein",Expressed in all tissues,5.84753822068139,0.5180855645399236,5
3578,ENSG00000108799,enhancer of zeste homolog 1 (Drosophila),Expressed in all tissues,5.531063417495042,0.7811170693909799,5
3580,ENSG00000108819,"protein phosphatase 1, regulatory subunit 9B",Expressed in all tissues,5.088082823662158,0.8668669621544175,5
3586,ENSG00000108829,leucine rich repeat containing 59,Expressed in all tissues,6.000374550840453,0.7700217369246048,6
3591,ENSG00000108848,LUC7-like 3 (S. cerevisiae),Expressed in all tissues,7.442490337037047,0.7108786870963202,7
3594,ENSG00000108854,SMAD specific E3 ubiquitin protein ligase 2,Expressed in all tissues,4.359420329418564,0.7778088232829059,4
3595,ENSG00000108861,dual specificity phosphatase 3,Expressed in all tissues,5.752605237406041,0.8736936485087439,5
3597,ENSG00000108883,elongation factor Tu GTP binding domain containing 2,Expressed in all tissues,5.906156001058527,0.6330138349456739,5
3600,ENSG00000108946,"protein kinase, cAMP-dependent, regulatory, type I, alpha",Expressed in all tissues,7.773139625896971,0.7848778399333104,7
3603,ENSG00000108953,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon",Expressed in all tissues,8.807388087235262,0.5604994810459876,8
3605,ENSG00000108961,RAN guanine nucleotide release factor,Expressed in all tissues,5.0509376756023405,0.923746968069062,5
3606,ENSG00000108963,diphthamide biosynthesis 1,Expressed in all tissues,5.286725501846511,0.48786302319524977,5
3608,ENSG00000109016,dehydrogenase/reductase (SDR family) member 7B,Expressed in all tissues,5.129389037306762,0.5415048332761896,5
3609,ENSG00000109046,WD repeat and SOCS box containing 1,Expressed in all tissues,7.215062609094987,0.8869036093483508,7
3614,ENSG00000109065,"N-acetyltransferase 9 (GCN5-related, putative)",Expressed in all tissues,5.252143486051489,0.6318291161412236,5
3615,ENSG00000109066,transmembrane protein 104,Expressed in all tissues,2.914428304786347,0.5524109546771566,2
3617,ENSG00000109079,"tumor necrosis factor, alpha-induced protein 1 (endothelial)",Expressed in all tissues,5.138521147233551,0.7150686982834212,5
3618,ENSG00000109083,intraflagellar transport 20 homolog (Chlamydomonas),Expressed in all tissues,5.901301755242129,0.597509197517703,5
3623,ENSG00000109103,unc-119 homolog (C. elegans),Expressed in all tissues,4.819054231553762,0.8066531993843442,4
3625,ENSG00000109111,suppressor of Ty 6 homolog (S. cerevisiae),Expressed in all tissues,5.559629067019743,0.47732013467633794,5
3627,ENSG00000109118,PHD finger protein 12,Expressed in all tissues,4.936238126610391,0.7281959052568261,4
3629,ENSG00000109133,transmembrane protein 33,Expressed in all tissues,4.986937294161351,0.7260234544353764,4
3632,ENSG00000109171,"SLAIN motif family, member 2",Expressed in all tissues,6.0248774800528295,0.6743960700789381,6
3633,ENSG00000109180,OCIA domain containing 1,Expressed in all tissues,7.7528616543804265,0.4838533346099226,7
3636,ENSG00000109184,"DCN1, defective in cullin neddylation 1, domain containing 4",Expressed in all tissues,5.08899202712346,0.6880281825730594,5
3637,ENSG00000109189,ubiquitin specific peptidase 46,Expressed in all tissues,3.863276358973301,0.9671534938914456,3
3641,ENSG00000109220,cysteine-rich hydrophobic domain 2,Expressed in all tissues,4.458921651391511,0.8710032167376529,4
3644,ENSG00000109270,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3",Expressed in all tissues,6.162208823874536,0.5932662124635244,6
3648,ENSG00000109323,"mannosidase, beta A, lysosomal",Expressed in all tissues,4.432898940459763,0.7739536768540022,4
3649,ENSG00000109332,ubiquitin-conjugating enzyme E2D 3,Expressed in all tissues,7.533107244742049,0.4756122783328672,7
3652,ENSG00000109390,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa",Expressed in all tissues,7.474494172762641,0.5863581232558839,7
3655,ENSG00000109445,zinc finger protein 330,Expressed in all tissues,5.632347255062743,0.5089316118207696,5
3657,ENSG00000109458,GRB2-associated binding protein 1,Expressed in all tissues,4.647288073063306,0.8347934081766152,4
3665,ENSG00000109534,GAR1 ribonucleoprotein,Expressed in all tissues,4.5881548496814615,0.6349681430770853,4
3666,ENSG00000109536,FSHD region gene 1,Expressed in all tissues,5.97529760506591,0.5275190201171024,5
3667,ENSG00000109572,"chloride channel, voltage-sensitive 3",Expressed in all tissues,5.5967659570463395,0.7722874021763841,5
3670,ENSG00000109606,DEAH (Asp-Glu-Ala-His) box helicase 15,Expressed in all tissues,6.821415784910274,0.6774625488084447,6
3672,ENSG00000109618,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,Expressed in all tissues,3.3681874877112583,0.7553545006300884,3
3676,ENSG00000109670,"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase",Expressed in all tissues,5.086206044099015,0.8603797161044471,5
3680,ENSG00000109685,Wolf-Hirschhorn syndrome candidate 1,Expressed in all tissues,4.804551257697024,0.892446448103687,4
3682,ENSG00000109689,stromal interaction molecule 2,Expressed in all tissues,5.025186702523973,0.7607430354139249,5
3684,ENSG00000109736,major facilitator superfamily domain containing 10,Expressed in all tissues,5.124745913883048,0.9862362118833492,5
3687,ENSG00000109756,Rap guanine nucleotide exchange factor (GEF) 2,Expressed in all tissues,5.657613289394464,0.7189285294666703,5
3689,ENSG00000109762,sorting nexin 25,Expressed in all tissues,3.9470260491394265,0.8815365103954662,3
3691,ENSG00000109775,UFM1-specific peptidase 2,Expressed in all tissues,5.374638940999986,0.7282799147875199,5
3692,ENSG00000109787,Kruppel-like factor 3 (basic),Expressed in all tissues,5.668467804656726,0.8553939949060462,5
3703,ENSG00000109881,coiled-coil domain containing 34,Expressed in all tissues,3.408071933795834,0.9086962792757047,3
3705,ENSG00000109911,elongator acetyltransferase complex subunit 4,Expressed in all tissues,4.468510775904812,0.531325685786216,4
3706,ENSG00000109917,zinc finger protein 259,Expressed in all tissues,4.928465160275921,0.6163109477374761,4
3708,ENSG00000109920,formin binding protein 4,Expressed in all tissues,6.412197527180782,0.679874211316475,6
3714,ENSG00000109971,heat shock 70kDa protein 8,Expressed in all tissues,9.67435109845447,0.5200115147150222,9
3717,ENSG00000110011,"DnaJ (Hsp40) homolog, subfamily C, member 4",Expressed in all tissues,6.164644667751876,0.5122887101476237,6
3719,ENSG00000110025,sorting nexin 15,Expressed in all tissues,4.446896740054592,0.5784226229771804,4
3722,ENSG00000110046,autophagy related 2A,Expressed in all tissues,3.4276912911313184,0.6705589376312473,3
3724,ENSG00000110048,oxysterol binding protein,Expressed in all tissues,5.452596803476547,0.36300332365657384,5
3726,ENSG00000110060,pseudouridylate synthase 3,Expressed in all tissues,3.5084450950295207,0.5348878222721338,3
3727,ENSG00000110063,"decapping enzyme, scavenger",Expressed in all tissues,4.194513157229521,0.6251189943382486,4
3728,ENSG00000110066,suppressor of variegation 4-20 homolog 1 (Drosophila),Expressed in all tissues,5.2791392709275184,0.5338055391364278,5
3729,ENSG00000110074,FAD-dependent oxidoreductase domain containing 1,Expressed in all tissues,4.881480574229414,0.5475250370691419,4
3730,ENSG00000110075,"protein phosphatase 6, regulatory subunit 3",Expressed in all tissues,5.887293733801693,0.5657152734925256,5
3735,ENSG00000110090,carnitine palmitoyltransferase 1A (liver),Expressed in all tissues,5.403557505363483,0.960558506630538,5
3737,ENSG00000110104,coiled-coil domain containing 86,Expressed in all tissues,4.241473378627866,0.6195508146792156,4
3738,ENSG00000110107,pre-mRNA processing factor 19,Expressed in all tissues,6.439653954429019,0.6011324507108781,6
3739,ENSG00000110108,transmembrane protein 109,Expressed in all tissues,6.521216754018664,0.7833125362451036,6
3742,ENSG00000110171,tripartite motif containing 3,Expressed in all tissues,4.368311470368654,0.8434091075046114,4
3743,ENSG00000110172,cysteine and histidine-rich domain (CHORD) containing 1,Expressed in all tissues,4.685437147743035,0.7124055526635067,4
3745,ENSG00000110200,anaphase promoting complex subunit 15,Expressed in all tissues,5.777282022475123,0.5394418349949426,5
3747,ENSG00000110218,pannexin 1,Expressed in all tissues,3.889076563663034,0.6803618266915826,3
3752,ENSG00000110274,centrosomal protein 164kDa,Expressed in all tissues,4.236716230362446,0.8874572979574439,4
3753,ENSG00000110315,ring finger protein 141,Expressed in all tissues,5.430082518761245,0.7850738756967743,5
3758,ENSG00000110330,baculoviral IAP repeat containing 2,Expressed in all tissues,5.539390232161874,0.4847153621782329,5
3759,ENSG00000110344,ubiquitination factor E4A,Expressed in all tissues,4.957247924638674,0.5130125369876778,4
3760,ENSG00000110367,DEAD (Asp-Glu-Ala-Asp) box helicase 6,Expressed in all tissues,5.952344690594878,0.6128595179617767,5
3764,ENSG00000110422,homeodomain interacting protein kinase 3,Expressed in all tissues,5.656975800797932,0.5945263719067572,5
3766,ENSG00000110429,F-box protein 3,Expressed in all tissues,5.656897104671167,0.4938596194497925,5
3767,ENSG00000110435,"pyruvate dehydrogenase complex, component X",Expressed in all tissues,5.001176449034869,0.7026987556392569,5
3769,ENSG00000110442,COMM domain containing 9,Expressed in all tissues,5.423406364634094,0.46257261607887135,5
3772,ENSG00000110455,1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional),Expressed in all tissues,5.032977907951321,0.9126468838921376,5
3775,ENSG00000110497,autophagy/beclin-1 regulator 1,Expressed in all tissues,4.302221131978457,0.6548323009432226,4
3776,ENSG00000110514,MAP-kinase activating death domain,Expressed in all tissues,5.265422091934461,0.6852564581299114,5
3778,ENSG00000110583,"N(alpha)-acetyltransferase 40, NatD catalytic subunit",Expressed in all tissues,4.317031031241135,0.7482688130191535,4
3779,ENSG00000110619,cysteinyl-tRNA synthetase,Expressed in all tissues,5.288200161087133,0.5364478605648434,5
3781,ENSG00000110651,CD81 molecule,Expressed in all tissues,9.247696018523111,0.9639466224449936,9
3787,ENSG00000110696,chromosome 11 open reading frame 58,Expressed in all tissues,7.63915790097474,0.5176354261981301,7
3790,ENSG00000110711,aryl hydrocarbon receptor interacting protein,Expressed in all tissues,5.936395044822188,0.6544236520548692,5
3791,ENSG00000110713,nucleoporin 98kDa,Expressed in all tissues,5.640109308371091,0.6470496732816078,5
3792,ENSG00000110717,"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)",Expressed in all tissues,6.515218865015077,0.6079331156754924,6
3794,ENSG00000110721,choline kinase alpha,Expressed in all tissues,4.955700844869276,0.9101913574474771,4
3796,ENSG00000110756,Hermansky-Pudlak syndrome 5,Expressed in all tissues,4.315192668119135,0.7424171245815155,4
3801,ENSG00000110801,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9",Expressed in all tissues,5.817598383396327,0.40441095092415325,5
3803,ENSG00000110844,PRP40 pre-mRNA processing factor 40 homolog B (S. cerevisiae),Expressed in all tissues,4.252573931767009,0.9492141088661544,4
3805,ENSG00000110851,PR domain containing 4,Expressed in all tissues,4.502442318633251,0.7066828879610134,4
3807,ENSG00000110871,"coenzyme Q5 homolog, methyltransferase (S. cerevisiae)",Expressed in all tissues,5.232049643792227,0.5878105666644844,5
3809,ENSG00000110880,"coronin, actin binding protein, 1C",Expressed in all tissues,6.151496160089321,0.9409377192492288,6
3812,ENSG00000110888,caprin family member 2,Expressed in all tissues,4.279205591553259,0.8249754310811136,4
3814,ENSG00000110906,potassium channel tetramerization domain containing 10,Expressed in all tissues,5.439149186698658,0.9135305247227731,5
3816,ENSG00000110917,malectin,Expressed in all tissues,6.547188553518042,0.7380460663729389,6
3817,ENSG00000110921,mevalonate kinase,Expressed in all tissues,4.045463030500467,0.7589375974632521,4
3819,ENSG00000110931,"calcium/calmodulin-dependent protein kinase kinase 2, beta",Expressed in all tissues,4.940976869794192,0.7999415455564796,4
3823,ENSG00000110958,prostaglandin E synthase 3 (cytosolic),Expressed in all tissues,7.353604312387636,0.5682793265842985,7
3825,ENSG00000110987,B-cell CLL/lymphoma 7A,Expressed in all tissues,3.3337036944112812,0.8953553554488322,3
3826,ENSG00000111011,arginine/serine-rich coiled-coil 2,Expressed in all tissues,6.6678417894908595,0.6601961821252413,6
3836,ENSG00000111142,methionyl aminopeptidase 2,Expressed in all tissues,6.5093355887630935,0.5139885264600246,6
3837,ENSG00000111144,leukotriene A4 hydrolase,Expressed in all tissues,6.6805774252381855,0.8829246062148246,6
3841,ENSG00000111196,mago-nashi homolog B (Drosophila),Expressed in all tissues,4.592731620427545,0.7646347570346663,4
3843,ENSG00000111203,integrin alpha FG-GAP repeat containing 2,Expressed in all tissues,5.317704629379942,0.6121035094750122,5
3848,ENSG00000111229,"actin related protein 2/3 complex, subunit 3, 21kDa",Expressed in all tissues,7.430871756668813,0.8400141145781037,7
3849,ENSG00000111231,GPN-loop GTPase 3,Expressed in all tissues,4.983223218775642,0.612959058043832,4
3850,ENSG00000111237,vacuolar protein sorting 29 homolog (S. cerevisiae),Expressed in all tissues,7.585293664120015,0.49425552320419897,7
3859,ENSG00000111266,dual specificity phosphatase 16,Expressed in all tissues,4.857301661182132,0.8871854170910435,4
3860,ENSG00000111269,cAMP responsive element binding protein-like 2,Expressed in all tissues,5.603328066105207,0.989036198201606,5
3861,ENSG00000111271,"acyl-CoA dehydrogenase family, member 10",Expressed in all tissues,4.637925900701142,0.5544130626585816,4
3863,ENSG00000111276,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",Expressed in all tissues,5.836181823639398,0.6239063185463082,5
3865,ENSG00000111300,"N(alpha)-acetyltransferase 25, NatB auxiliary subunit",Expressed in all tissues,3.7299151238668724,0.5765749154483477,3
3868,ENSG00000111321,"lymphotoxin beta receptor (TNFR superfamily, member 3)",Expressed in all tissues,6.27917654857711,0.9418151287689882,6
3869,ENSG00000111325,2-oxoglutarate and iron-dependent oxygenase domain containing 2,Expressed in all tissues,3.995337883325053,0.6102721965605131,3
3870,ENSG00000111328,cyclin-dependent kinase 2 associated protein 1,Expressed in all tissues,6.923377625119791,0.72790834041461,6
3871,ENSG00000111331,"2'-5'-oligoadenylate synthetase 3, 100kDa",Expressed in all tissues,4.0096368584198805,0.9813155376778981,4
3879,ENSG00000111364,DEAD (Asp-Glu-Ala-Asp) box polypeptide 55,Expressed in all tissues,4.457625997840333,0.6691052791743601,4
3886,ENSG00000111445,"replication factor C (activator 1) 5, 36.5kDa",Expressed in all tissues,4.0853704213378075,0.8601513486118654,4
3887,ENSG00000111450,syntaxin 2,Expressed in all tissues,4.046016005752751,0.9494602654121841,4
3889,ENSG00000111481,"coatomer protein complex, subunit zeta 1",Expressed in all tissues,7.426079059301297,0.4919254654657628,7
3891,ENSG00000111530,cullin-associated and neddylation-dissociated 1,Expressed in all tissues,5.915872987039115,0.7404906488205572,5
3894,ENSG00000111540,"RAB5B, member RAS oncogene family",Expressed in all tissues,6.641720376606616,0.6138760358997045,6
3896,ENSG00000111581,nucleoporin 107kDa,Expressed in all tissues,5.157817282439965,0.7908457889386404,5
3899,ENSG00000111605,"cleavage and polyadenylation specific factor 6, 68kDa",Expressed in all tissues,5.394769377410693,0.6948944179747986,5
3900,ENSG00000111615,"KRR1, small subunit (SSU) processome component, homolog (yeast)",Expressed in all tissues,5.264713792453572,0.5559388335493678,5
3902,ENSG00000111640,glyceraldehyde-3-phosphate dehydrogenase,Expressed in all tissues,10.061153589058607,0.8249261849409941,10
3904,ENSG00000111642,chromodomain helicase DNA binding protein 4,Expressed in all tissues,6.510016017549514,0.6128737325039197,6
3906,ENSG00000111647,UHRF1 binding protein 1-like,Expressed in all tissues,4.12371226723285,0.7819741040386232,4
3907,ENSG00000111652,COP9 signalosome subunit 7A,Expressed in all tissues,6.1826419706368805,0.5299256874922255,6
3908,ENSG00000111653,"inhibitor of growth family, member 4",Expressed in all tissues,6.004797146595177,0.7155079843981786,6
3911,ENSG00000111666,choline phosphotransferase 1,Expressed in all tissues,6.186101813857716,0.8254012954152562,6
3912,ENSG00000111667,ubiquitin specific peptidase 5 (isopeptidase T),Expressed in all tissues,5.607982517486539,0.688867054850558,5
3913,ENSG00000111669,triosephosphate isomerase 1,Expressed in all tissues,7.911342015769642,0.7598879008957877,7
3914,ENSG00000111670,"N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits",Expressed in all tissues,5.006166227430491,0.7255709969073282,5
